top_k,method,method_key,qa_rows,precision_at_k,recall_at_k,mrr,f1_at_k,bleu,rouge_l,n_precision,n_recall,n_mrr,n_bleu,n_rouge_l,missing_precision,missing_recall,missing_mrr,missing_bleu,missing_rouge_l,source_file
16,Recursive,recursive,30,0.0733,0.4977,0.4439,0.1277,0.1393,0.6940,29,29,29,30,30,1,1,1,0,0,results/final/generation/eval_20260613_194703_full_top16.csv
17,Element-Based,element_based,30,0.0672,0.6286,0.3848,0.1214,0.1048,0.7096,28,28,28,30,30,2,2,2,0,0,results/final/generation/eval_20260613_195718_full_top17.csv
17,MaxMin Semantic,maxmin_semantic,30,0.0608,0.6707,0.3670,0.1116,0.1110,0.6545,29,29,29,30,30,1,1,1,0,0,results/final/generation/eval_20260613_195718_full_top17.csv
17,Recursive,recursive,30,0.0690,0.4977,0.4439,0.1211,0.1384,0.6841,29,29,29,30,30,1,1,1,0,0,results/final/generation/eval_20260613_195718_full_top17.csv
18,Element-Based,element_based,30,0.0655,0.6405,0.3848,0.1188,0.1166,0.7030,28,28,28,30,30,2,2,2,0,0,results/final/generation/eval_20260613_200557_full_top18.csv
18,MaxMin Semantic,maxmin_semantic,30,0.0594,0.6879,0.3670,0.1094,0.1048,0.6554,29,29,29,30,30,1,1,1,0,0,results/final/generation/eval_20260613_200557_full_top18.csv
18,Recursive,recursive,30,0.0728,0.5609,0.4497,0.1289,0.1362,0.6824,29,29,29,30,30,1,1,1,0,0,results/final/generation/eval_20260613_200557_full_top18.csv
19,Element-Based,element_based,30,0.0620,0.6405,0.3848,0.1131,0.1122,0.7232,28,28,28,30,30,2,2,2,0,0,results/final/generation/eval_20260613_201434_full_top19.csv
19,MaxMin Semantic,maxmin_semantic,30,0.0581,0.6948,0.3670,0.1072,0.1139,0.6539,29,29,29,30,30,1,1,1,0,0,results/final/generation/eval_20260613_201434_full_top19.csv
19,Recursive,recursive,30,0.0726,0.5851,0.4515,0.1292,0.1454,0.7184,29,29,29,30,30,1,1,1,0,0,results/final/generation/eval_20260613_201434_full_top19.csv
20,Element-Based,element_based,30,0.0589,0.6405,0.3848,0.1079,0.1148,0.7063,28,28,28,30,30,2,2,2,0,0,results/final/generation/eval_20260613_202326_full_top20.csv
20,MaxMin Semantic,maxmin_semantic,30,0.0552,0.6948,0.3670,0.1022,0.1151,0.6673,29,29,29,30,30,1,1,1,0,0,results/final/generation/eval_20260613_202326_full_top20.csv
20,Recursive,recursive,30,0.0690,0.5851,0.4515,0.1234,0.1309,0.6893,29,29,29,30,30,1,1,1,0,0,results/final/generation/eval_20260613_202326_full_top20.csv
